PlayerName,Matches,Innings,NotOut,Runs,HighestScore,Average,Centuries,HalfCenturies,Ducks,Country,FirstMatch,LastMatch,CenturyConversion,DuckPercentage,NotOutPercentage,FiftyPlusScorePercentage,CareerLength,MatchesPerYear,CurrentPlayer
MW Goodwin,19,37,4,1414,166,42.84,3,8,4,ZIM,1998,2000,0.2727,0.1081,0.1081,0.2973,2,9.5,0
RG Nadkarni,41,67,12,1414,122,25.7,1,7,6,IND,1955,1968,0.125,0.0896,0.1791,0.1194,13,3.15,0
Khaled Mashud,44,84,10,1409,103,19.04,1,3,11,BAN,2000,2007,0.25,0.131,0.119,0.0476,7,6.29,0
HDRL Thirimanne,35,68,6,1404,155,22.64,1,6,9,SL,2011,2019,0.1429,0.1324,0.0882,0.1029,8,4.38,1
RT Simpson,27,45,3,1401,156,33.35,4,6,6,ENG,1948,1955,0.4,0.1333,0.0667,0.2222,7,3.86,0
J Ryder,20,32,5,1394,201,51.62,3,9,1,AUS,1920,1929,0.25,0.0312,0.1562,0.375,9,2.22,0
KLT Arthurton,33,50,5,1382,157,30.71,2,8,8,WI,1988,1995,0.2,0.16,0.1,0.2,7,4.71,0
Rashid Latif,37,57,9,1381,150,28.77,1,7,4,PAK,1992,2003,0.125,0.0702,0.1579,0.1404,11,3.36,0
GP Swann,60,76,14,1370,85,22.09,0,5,5,ENG,2008,2013,0.0,0.0658,0.1842,0.0658,5,12.0,0
S Ramesh,19,37,1,1367,143,37.97,2,8,3,IND,1999,2001,0.2,0.0811,0.027,0.2703,2,9.5,0
Wasim Bari,81,112,26,1366,85,15.88,0,6,19,PAK,1967,1984,0.0,0.1696,0.2321,0.0536,17,4.76,0
KG Viljoen,27,50,2,1365,124,28.43,2,9,5,SA,1930,1949,0.1818,0.1,0.04,0.22,19,1.42,0
J Blackwood,28,49,4,1362,112,30.26,1,10,5,WI,2014,2019,0.0909,0.102,0.0816,0.2245,5,5.6,1
J Dyson,30,58,7,1359,127,26.64,2,5,4,AUS,1977,1984,0.2857,0.069,0.1207,0.1207,7,4.29,0
DJ Richardson,42,64,8,1359,109,24.26,1,8,7,SA,1992,1998,0.1111,0.1094,0.125,0.1406,6,7.0,0
HL Collins,19,31,1,1352,203,45.06,4,6,0,AUS,1920,1926,0.4,0.0,0.0323,0.3226,6,3.17,0
Javed Burki,25,48,4,1341,140,30.47,3,4,3,PAK,1960,1969,0.4286,0.0625,0.0833,0.1458,9,2.78,0
BM Laird,21,40,2,1341,92,35.28,0,11,2,AUS,1979,1982,0.0,0.05,0.05,0.275,3,7.0,0
L Vincent,23,40,1,1332,224,34.15,3,9,4,NZ,2001,2007,0.25,0.1,0.025,0.3,6,3.83,0
OG Smith,26,42,0,1331,168,31.69,4,6,8,WI,1955,1959,0.4,0.1905,0.0,0.2381,4,6.5,0
LRD Mendis,24,43,1,1329,124,31.64,4,8,2,SL,1982,1988,0.3333,0.0465,0.0233,0.2791,6,4.0,0
AK Davidson,44,61,7,1328,80,24.59,0,5,1,AUS,1953,1963,0.0,0.0164,0.1148,0.082,10,4.4,0
SS Das,23,40,2,1326,110,34.89,2,9,3,IND,2000,2002,0.1818,0.075,0.05,0.275,2,11.5,0
JS Solomon,27,46,7,1326,100,34.0,1,9,7,WI,1958,1965,0.1,0.1522,0.1522,0.2174,7,3.86,0
DJG Sammy,38,63,2,1323,106,21.68,1,5,8,WI,2007,2013,0.1667,0.127,0.0317,0.0952,6,6.33,0
JA Burns,20,34,0,1321,180,38.85,4,6,5,AUS,2014,2019,0.4,0.1471,0.0,0.2941,5,4.0,1
RA Duff,22,40,3,1317,146,35.59,2,6,0,AUS,1902,1905,0.25,0.0,0.075,0.2,3,7.33,0
N Boje,43,62,10,1312,85,25.23,0,4,5,SA,2000,2006,0.0,0.0806,0.1613,0.0645,6,7.17,0
G Fowler,21,37,0,1307,201,35.32,3,8,3,ENG,1982,1985,0.2727,0.0811,0.0,0.2973,3,7.0,0
DW Hookes,23,41,3,1306,143,34.36,1,8,4,AUS,1977,1985,0.1111,0.0976,0.0732,0.2195,8,2.88,0
CA Davis,15,29,5,1301,183,54.2,4,4,1,WI,1968,1973,0.5,0.0345,0.1724,0.2759,5,3.0,0
BW Luckhurst,21,41,5,1298,131,36.05,4,5,4,ENG,1970,1974,0.4444,0.0976,0.122,0.2195,4,5.25,0
DR Jardine,22,33,6,1296,127,48.0,1,10,2,ENG,1928,1934,0.0909,0.0606,0.1818,0.3333,6,3.67,0
JF Reid,19,31,3,1296,180,46.28,6,2,4,NZ,1979,1986,0.75,0.129,0.0968,0.2581,7,2.71,0
TD Paine,30,49,8,1295,92,31.58,0,7,4,AUS,2010,2019,0.0,0.0816,0.1633,0.1429,9,3.33,1
RL Dias,20,36,1,1285,109,36.71,3,8,2,SL,1982,1987,0.2727,0.0556,0.0278,0.3056,5,4.0,0
