,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
93,JE Root,15.0,78.0,54.0,2.0,0.0,27.77,1.0,West Indies,Gros Islet,2019,away
108,JE Root,14.0,34.0,20.0,3.0,0.0,70.0,3.0,Australia,Perth,2017,away
112,JE Root,14.0,0.0,23.0,2.0,0.0,60.86,1.0,Sri Lanka,Pallekele,2018,away
178,JE Root,11.0,54.0,51.0,2.0,0.0,21.56,3.0,New Zealand,Mount Maunganui,2019,away
180,JE Root,11.0,30.0,16.0,1.0,0.0,68.75,4.0,Sri Lanka,Galle,2021,away
188,JE Root,10.0,24.0,20.0,1.0,0.0,50.0,1.0,New Zealand,Wellington,2013,away
15,JE Root,9.0,23.0,10.0,1.0,0.0,90.0,2.0,Australia,Adelaide,2017,away
61,JE Root,7.0,0.0,9.0,0.0,0.0,77.77,3.0,Sri Lanka,Colombo (SSC),2018,away
62,JE Root,7.0,31.0,17.0,1.0,0.0,41.17,1.0,West Indies,North Sound,2019,away
63,JE Root,7.0,22.0,13.0,1.0,0.0,53.84,3.0,West Indies,North Sound,2019,away
81,JE Root,6.0,47.0,22.0,0.0,0.0,27.27,3.0,India,Chennai,2016,away
87,JE Root,6.0,13.0,12.0,0.0,0.0,50.0,2.0,India,Chennai,2021,away
123,JE Root,5.0,24.0,9.0,1.0,0.0,55.55,1.0,India,Ahmedabad,2021,away
126,JE Root,4.0,16.0,13.0,0.0,0.0,30.76,4.0,South Africa,Johannesburg,2016,away
131,JE Root,4.0,17.0,11.0,1.0,0.0,36.36,1.0,New Zealand,Dunedin,2013,away
137,JE Root,4.0,23.0,16.0,1.0,0.0,25.0,2.0,Australia,Perth,2013,away
144,JE Root,4.0,10.0,5.0,0.0,0.0,80.0,3.0,India,Rajkot,2016,away
153,JE Root,4.0,22.0,14.0,1.0,0.0,28.57,2.0,West Indies,Bridgetown,2019,away
182,JE Root,3.0,0.0,19.0,0.0,0.0,15.78,3.0,Sri Lanka,Galle,2018,away
2,JE Root,2.0,14.0,7.0,0.0,0.0,28.57,2.0,Australia,Brisbane,2013,away
35,JE Root,2.0,30.0,22.0,0.0,0.0,9.09,1.0,New Zealand,Mount Maunganui,2019,away
66,JE Root,1.0,34.0,13.0,0.0,0.0,7.69,3.0,West Indies,Bridgetown,2015,away
70,JE Root,1.0,6.0,4.0,0.0,0.0,25.0,3.0,Bangladesh,Chattogram,2016,away
71,JE Root,1.0,4.0,2.0,0.0,0.0,50.0,4.0,Bangladesh,Dhaka,2016,away
93,JE Root,1.0,6.0,3.0,0.0,0.0,33.33,4.0,Sri Lanka,Galle,2021,away
131,JE Root,0.0,4.0,2.0,0.0,0.0,0.0,3.0,New Zealand,Dunedin,2013,away
195,JE Root,0.0,9.0,6.0,0.0,0.0,0.0,1.0,New Zealand,Auckland,2018,away
