PlayerName,Runs,Minutes,BallsFaced,Fours,Sixes,StrikeRate,MatchInning,Opposition,Ground,Year,Home/Away,Nationality
KS Williamson,9.0,34.0,24.0,1.0,0.0,37.5,3.0,australia,Adelaide,2015,0,New Zealand
KS Williamson,140.0,292.0,178.0,24.0,0.0,78.65,2.0,australia,Brisbane,2015,0,New Zealand
KS Williamson,59.0,127.0,74.0,5.0,0.0,79.72,4.0,australia,Brisbane,2015,0,New Zealand
KS Williamson,166.0,384.0,250.0,24.0,0.0,66.4,2.0,australia,Perth,2015,0,New Zealand
KS Williamson,32.0,73.0,58.0,3.0,0.0,55.17,4.0,australia,Perth,2015,0,New Zealand
KS Williamson,0.0,1.0,2.0,0.0,0.0,0.0,1.0,england,Leeds,2015,0,New Zealand
KS Williamson,6.0,16.0,20.0,1.0,0.0,30.0,3.0,england,Leeds,2015,0,New Zealand
KS Williamson,132.0,372.0,262.0,15.0,0.0,50.38,2.0,england,Lord's,2015,0,New Zealand
KS Williamson,27.0,101.0,70.0,3.0,0.0,38.57,4.0,england,Lord's,2015,0,New Zealand
KS Williamson,88.0,171.0,123.0,12.0,0.0,71.54,1.0,sri lanka,Dunedin,2015,1,New Zealand
KS Williamson,71.0,145.0,115.0,7.0,0.0,61.73,3.0,sri lanka,Dunedin,2015,1,New Zealand
KS Williamson,1.0,7.0,4.0,0.0,0.0,25.0,2.0,sri lanka,Hamilton,2015,1,New Zealand
KS Williamson,108.0,245.0,164.0,12.0,1.0,65.85,4.0,sri lanka,Hamilton,2015,1,New Zealand
KS Williamson,69.0,187.0,115.0,9.0,0.0,60.0,1.0,sri lanka,Wellington,2015,1,New Zealand
KS Williamson,242.0,623.0,438.0,18.0,0.0,55.25,3.0,sri lanka,Wellington,2015,1,New Zealand
KS Williamson,7.0,98.0,69.0,0.0,0.0,10.14,1.0,australia,Christchurch,2016,1,New Zealand
KS Williamson,97.0,340.0,210.0,8.0,0.0,46.19,3.0,australia,Christchurch,2016,1,New Zealand
KS Williamson,16.0,24.0,18.0,4.0,0.0,88.88,1.0,australia,Wellington,2016,1,New Zealand
KS Williamson,22.0,72.0,44.0,3.0,0.0,50.0,3.0,australia,Wellington,2016,1,New Zealand
KS Williamson,8.0,33.0,25.0,1.0,0.0,32.0,2.0,india,Indore,2016,0,New Zealand
KS Williamson,27.0,40.0,33.0,5.0,0.0,81.81,4.0,india,Indore,2016,0,New Zealand
KS Williamson,75.0,197.0,137.0,7.0,0.0,54.74,2.0,india,Kanpur,2016,0,New Zealand
KS Williamson,25.0,61.0,59.0,3.0,0.0,42.37,4.0,india,Kanpur,2016,0,New Zealand
KS Williamson,4.0,21.0,15.0,0.0,0.0,26.66,2.0,pakistan,Christchurch,2016,1,New Zealand
KS Williamson,61.0,85.0,77.0,4.0,1.0,79.22,4.0,pakistan,Christchurch,2016,1,New Zealand
KS Williamson,13.0,63.0,42.0,2.0,0.0,30.95,1.0,pakistan,Hamilton,2016,1,New Zealand
KS Williamson,42.0,138.0,88.0,7.0,0.0,47.72,3.0,pakistan,Hamilton,2016,1,New Zealand
KS Williamson,77.0,284.0,133.0,8.0,1.0,57.89,2.0,south africa,Centurion,2016,0,New Zealand
KS Williamson,5.0,27.0,11.0,0.0,0.0,45.45,4.0,south africa,Centurion,2016,0,New Zealand
KS Williamson,2.0,29.0,16.0,0.0,0.0,12.5,2.0,south africa,Durban,2016,0,New Zealand
KS Williamson,113.0,202.0,151.0,10.0,0.0,74.83,1.0,zimbabwe,Bulawayo,2016,0,New Zealand
KS Williamson,91.0,242.0,179.0,9.0,0.0,50.83,2.0,zimbabwe,Bulawayo,2016,0,New Zealand
KS Williamson,68.0,130.0,103.0,6.0,0.0,66.01,3.0,zimbabwe,Bulawayo,2016,0,New Zealand
KS Williamson,2.0,4.0,2.0,0.0,0.0,100.0,2.0,bangladesh,Christchurch,2017,1,New Zealand
KS Williamson,53.0,85.0,55.0,8.0,0.0,96.36,2.0,bangladesh,Wellington,2017,1,New Zealand
KS Williamson,104.0,144.0,90.0,15.0,0.0,115.55,4.0,bangladesh,Wellington,2017,1,New Zealand
KS Williamson,130.0,380.0,241.0,18.0,0.0,53.94,2.0,south africa,Dunedin,2017,1,New Zealand
KS Williamson,176.0,453.0,285.0,16.0,3.0,61.75,2.0,south africa,Hamilton,2017,1,New Zealand
KS Williamson,2.0,15.0,10.0,0.0,0.0,20.0,1.0,south africa,Wellington,2017,1,New Zealand
KS Williamson,1.0,12.0,6.0,0.0,0.0,16.66,3.0,south africa,Wellington,2017,1,New Zealand
KS Williamson,43.0,126.0,96.0,5.0,0.0,44.79,1.0,west indies,Hamilton,2017,1,New Zealand
KS Williamson,54.0,98.0,64.0,8.0,0.0,84.37,3.0,west indies,Hamilton,2017,1,New Zealand
KS Williamson,1.0,16.0,10.0,0.0,0.0,10.0,2.0,west indies,Wellington,2017,1,New Zealand
KS Williamson,102.0,319.0,220.0,11.0,1.0,46.36,2.0,england,Auckland,2018,1,New Zealand
KS Williamson,22.0,83.0,48.0,1.0,0.0,45.83,2.0,england,Christchurch,2018,1,New Zealand
KS Williamson,0.0,1.0,1.0,0.0,0.0,0.0,4.0,england,Christchurch,2018,1,New Zealand
KS Williamson,2.0,31.0,18.0,0.0,0.0,11.11,1.0,sri lanka,Christchurch,2018,1,New Zealand
KS Williamson,48.0,92.0,75.0,5.0,0.0,64.0,3.0,sri lanka,Christchurch,2018,1,New Zealand
KS Williamson,91.0,169.0,93.0,10.0,0.0,97.84,2.0,sri lanka,Wellington,2018,1,New Zealand
KS Williamson,9.0,36.0,14.0,0.0,0.0,64.28,2.0,australia,Melbourne,2019,0,New Zealand
KS Williamson,0.0,15.0,9.0,0.0,0.0,0.0,4.0,australia,Melbourne,2019,0,New Zealand
KS Williamson,34.0,102.0,70.0,7.0,0.0,48.57,2.0,australia,Perth,2019,0,New Zealand
KS Williamson,14.0,97.0,8.0,3.0,0.0,175.0,4.0,australia,Perth,2019,0,New Zealand
KS Williamson,200.0,382.0,257.0,19.0,0.0,77.82,2.0,bangladesh,Hamilton,2019,1,New Zealand
KS Williamson,74.0,162.0,105.0,11.0,1.0,70.47,2.0,bangladesh,Wellington,2019,1,New Zealand
KS Williamson,4.0,30.0,20.0,0.0,0.0,20.0,1.0,england,Hamilton,2019,1,New Zealand
KS Williamson,104.0,310.0,234.0,11.0,0.0,44.44,3.0,england,Hamilton,2019,1,New Zealand
KS Williamson,51.0,141.0,85.0,7.0,0.0,60.0,2.0,england,Mount Maunganui,2019,1,New Zealand
KS Williamson,20.0,43.0,28.0,2.0,0.0,71.42,2.0,sri lanka,Colombo (PSS),2019,0,New Zealand
KS Williamson,0.0,3.0,3.0,0.0,0.0,0.0,1.0,sri lanka,Galle,2019,0,New Zealand
KS Williamson,4.0,29.0,25.0,0.0,0.0,16.0,3.0,sri lanka,Galle,2019,0,New Zealand
KS Williamson,3.0,12.0,8.0,0.0,0.0,37.5,2.0,india,Christchurch,2020,1,New Zealand
KS Williamson,5.0,17.0,8.0,1.0,0.0,62.5,4.0,india,Christchurch,2020,1,New Zealand
KS Williamson,89.0,228.0,153.0,11.0,0.0,58.16,2.0,india,Wellington,2020,1,New Zealand
KS Williamson,129.0,476.0,297.0,12.0,1.0,43.43,1.0,pakistan,Mount Maunganui,2020,1,New Zealand
KS Williamson,21.0,48.0,33.0,2.0,0.0,63.63,3.0,pakistan,Mount Maunganui,2020,1,New Zealand
KS Williamson,251.0,624.0,412.0,34.0,2.0,60.92,1.0,west indies,Hamilton,2020,1,New Zealand
KS Williamson,238.0,573.0,364.0,28.0,0.0,65.38,2.0,pakistan,Christchurch,2021,1,New Zealand
