PlayerName,Runs,Minutes,BallsFaced,Fours,Sixes,StrikeRate,MatchInning,Opposition,Ground,Year,Home/Away,Nationality
SPD Smith,53.0,78.0,46.0,4.0,1.0,115.21,4.0,new zealand,Christchurch,2016,0,Australia
SPD Smith,71.0,133.0,112.0,10.0,1.0,63.39,2.0,new zealand,Wellington,2016,0,Australia
SPD Smith,130.0,312.0,222.0,19.0,0.0,58.55,1.0,pakistan,Brisbane,2016,1,Australia
SPD Smith,63.0,106.0,70.0,11.0,0.0,90.0,3.0,pakistan,Brisbane,2016,1,Australia
SPD Smith,165.0,412.0,246.0,13.0,1.0,67.07,2.0,pakistan,Melbourne,2016,1,Australia
SPD Smith,59.0,159.0,113.0,8.0,1.0,52.21,2.0,south africa,Adelaide,2016,1,Australia
SPD Smith,40.0,84.0,52.0,5.0,0.0,76.92,4.0,south africa,Adelaide,2016,1,Australia
SPD Smith,48.0,137.0,80.0,5.0,0.0,60.0,1.0,south africa,Hobart,2016,1,Australia
SPD Smith,31.0,151.0,82.0,5.0,0.0,37.8,3.0,south africa,Hobart,2016,1,Australia
SPD Smith,0.0,4.0,4.0,0.0,0.0,0.0,2.0,south africa,Perth,2016,1,Australia
SPD Smith,34.0,118.0,91.0,5.0,0.0,37.36,4.0,south africa,Perth,2016,1,Australia
SPD Smith,119.0,305.0,218.0,10.0,1.0,54.58,2.0,sri lanka,Colombo (SSC),2016,0,Australia
SPD Smith,8.0,17.0,14.0,1.0,0.0,57.14,4.0,sri lanka,Colombo (SSC),2016,0,Australia
SPD Smith,5.0,9.0,10.0,1.0,0.0,50.0,2.0,sri lanka,Galle,2016,0,Australia
SPD Smith,30.0,57.0,58.0,3.0,0.0,51.72,4.0,sri lanka,Galle,2016,0,Australia
SPD Smith,30.0,65.0,53.0,3.0,0.0,56.6,2.0,sri lanka,Pallekele,2016,0,Australia
SPD Smith,55.0,151.0,125.0,1.0,0.0,44.0,4.0,sri lanka,Pallekele,2016,0,Australia
SPD Smith,58.0,107.0,94.0,8.0,0.0,61.7,2.0,bangladesh,Chattogram,2017,0,Australia
SPD Smith,16.0,24.0,9.0,3.0,0.0,177.77,4.0,bangladesh,Chattogram,2017,0,Australia
SPD Smith,8.0,16.0,16.0,1.0,0.0,50.0,2.0,bangladesh,Dhaka,2017,0,Australia
SPD Smith,37.0,149.0,99.0,3.0,0.0,37.37,4.0,bangladesh,Dhaka,2017,0,Australia
SPD Smith,40.0,119.0,90.0,3.0,0.0,44.44,1.0,england,Adelaide,2017,1,Australia
SPD Smith,6.0,25.0,12.0,1.0,0.0,50.0,3.0,england,Adelaide,2017,1,Australia
SPD Smith,141.0,512.0,326.0,14.0,0.0,43.25,2.0,england,Brisbane,2017,1,Australia
SPD Smith,76.0,211.0,156.0,8.0,0.0,48.71,1.0,england,Melbourne,2017,1,Australia
SPD Smith,102.0,438.0,275.0,6.0,0.0,37.09,3.0,england,Melbourne,2017,1,Australia
SPD Smith,239.0,578.0,399.0,30.0,1.0,59.89,2.0,england,Perth,2017,1,Australia
SPD Smith,8.0,81.0,52.0,0.0,0.0,15.38,2.0,india,Bengaluru,2017,0,Australia
SPD Smith,28.0,69.0,48.0,3.0,0.0,58.33,4.0,india,Bengaluru,2017,0,Australia
SPD Smith,111.0,224.0,173.0,14.0,0.0,64.16,1.0,india,Dharamsala,2017,0,Australia
SPD Smith,17.0,25.0,15.0,3.0,0.0,113.33,3.0,india,Dharamsala,2017,0,Australia
SPD Smith,27.0,128.0,95.0,2.0,0.0,28.42,1.0,india,Pune,2017,0,Australia
SPD Smith,109.0,256.0,202.0,11.0,0.0,53.96,3.0,india,Pune,2017,0,Australia
SPD Smith,178.0,512.0,361.0,17.0,0.0,49.3,1.0,india,Ranchi,2017,0,Australia
SPD Smith,21.0,98.0,68.0,2.0,0.0,30.88,3.0,india,Ranchi,2017,0,Australia
SPD Smith,24.0,43.0,40.0,3.0,0.0,60.0,1.0,pakistan,Sydney,2017,1,Australia
SPD Smith,59.0,72.0,43.0,8.0,1.0,137.2,3.0,pakistan,Sydney,2017,1,Australia
SPD Smith,83.0,254.0,158.0,5.0,0.0,52.53,2.0,england,Sydney,2018,1,Australia
SPD Smith,5.0,19.0,18.0,1.0,0.0,27.77,2.0,south africa,Cape Town,2018,0,Australia
SPD Smith,7.0,29.0,21.0,0.0,1.0,33.33,4.0,south africa,Cape Town,2018,0,Australia
SPD Smith,56.0,155.0,114.0,11.0,0.0,49.12,1.0,south africa,Durban,2018,0,Australia
SPD Smith,38.0,97.0,81.0,3.0,0.0,46.91,3.0,south africa,Durban,2018,0,Australia
SPD Smith,25.0,93.0,58.0,3.0,0.0,43.1,1.0,south africa,Port Elizabeth,2018,0,Australia
SPD Smith,11.0,20.0,18.0,1.0,1.0,61.11,3.0,south africa,Port Elizabeth,2018,0,Australia
SPD Smith,144.0,336.0,219.0,16.0,2.0,65.75,1.0,england,Birmingham,2019,0,Australia
SPD Smith,142.0,326.0,207.0,14.0,0.0,68.59,3.0,england,Birmingham,2019,0,Australia
