PlayerName,Matches,Innings,NotOut,Runs,HighestScore,Average,Centuries,HalfCenturies,Ducks,Country,FirstMatch,LastMatch,CenturyConversion,DuckPercentage,NotOutPercentage,FiftyPlusScorePercentage,CareerLength,MatchesPerYear,CurrentPlayer
PVD Chameera,12,21,2,104,22,5.47,0,0,5,SL,2015,2021,0.0,0.2381,0.0952,0.0,6,2.0,0
H Klaasen,4,8,0,104,35,13.0,0,0,0,SA,2019,2023,0.0,0.0,0.0,0.0,4,1.0,0
GFJ Liebenberg,5,8,0,104,45,13.0,0,0,2,SA,1998,1998,0.0,0.25,0.0,0.0,1,5.0,0
Mohammed Siraj,27,36,15,104,16,4.95,0,0,8,IND,2020,2024,0.0,0.2222,0.4167,0.0,4,6.75,1
EE Hemmings,7,7,1,103,51,17.16,0,1,3,ENG,1990,1991,0.0,0.4286,0.1429,0.1429,1,7.0,0
SB O'Connor,19,27,9,103,20,5.72,0,0,4,NZ,1997,2001,0.0,0.1481,0.3333,0.0,4,4.75,0
B Muzarabani,6,11,4,102,30,14.57,0,0,1,ZIM,2017,2021,0.0,0.0909,0.3636,0.0,4,1.5,0
Naseem Shah,17,22,8,102,18,7.28,0,0,3,PAK,2019,2023,0.0,0.1364,0.3636,0.0,4,4.25,0
PM Pushpakumara,4,8,2,102,42,17.0,0,0,0,SL,2017,2018,0.0,0.0,0.25,0.0,1,4.0,0
Aaqib Javed,21,27,7,101,28,5.05,0,0,8,PAK,1990,1998,0.0,0.2963,0.2593,0.0,8,2.62,0
KA Hope,5,9,0,101,43,11.22,0,0,2,WI,2017,2017,0.0,0.2222,0.0,0.0,1,5.0,0
Anamul Haque,5,10,0,100,23,10.0,0,0,1,BAN,2013,2022,0.0,0.1,0.0,0.0,9,0.56,0
R de Swardt,2,4,1,99,64,33.0,0,1,1,SA,2024,2024,0.0,0.25,0.25,0.25,1,2.0,1
MN Nawaz,1,2,1,99,78,99.0,0,1,0,SL,2002,2002,0.0,0.0,0.5,0.5,1,1.0,0
Robiul Islam,9,17,6,99,33,9.0,0,0,6,BAN,2010,2014,0.0,0.3529,0.3529,0.0,4,2.25,0
Shahriar Hossain,3,5,0,99,48,19.8,0,0,0,BAN,2000,2004,0.0,0.0,0.0,0.0,4,0.75,0
Umar Amin,4,8,0,99,33,12.37,0,0,1,PAK,2010,2010,0.0,0.125,0.0,0.0,1,4.0,0
TD Astle,5,6,1,98,35,19.6,0,0,1,NZ,2012,2020,0.0,0.1667,0.1667,0.0,8,0.62,0
RK Chauhan,21,17,3,98,23,7.0,0,0,1,IND,1993,1998,0.0,0.0588,0.1765,0.0,5,4.2,0
AC Cummins,5,6,1,98,50,19.6,0,1,1,WI,1993,1994,0.0,0.1667,0.1667,0.1667,1,5.0,0
GH Dockrell,2,4,0,98,39,24.5,0,0,0,IRE,2019,2023,0.0,0.0,0.0,0.0,4,0.5,0
Hasibul Hossain,5,10,1,97,31,10.77,0,0,2,BAN,2000,2001,0.0,0.2,0.1,0.0,1,5.0,0
AR Kapoor,4,6,1,97,42,19.4,0,0,0,IND,1994,1996,0.0,0.0,0.1667,0.0,2,2.0,0
L Ngidi,18,29,10,97,19,5.1,0,0,7,SA,2018,2024,0.0,0.2414,0.3448,0.0,6,3.0,1
J Overton,1,1,0,97,97,97.0,0,1,0,ENG,2022,2022,0.0,0.0,0.0,1.0,1,1.0,0
CP Senanayake,3,5,0,97,64,19.4,0,1,1,SL,1991,1991,0.0,0.2,0.0,0.2,1,3.0,0
IDR Bradshaw,5,8,1,96,33,13.71,0,0,1,WI,2006,2006,0.0,0.125,0.125,0.0,1,5.0,0
R Clarke,2,3,0,96,55,32.0,0,1,0,ENG,2003,2003,0.0,0.0,0.0,0.3333,1,2.0,0
KMA Paul,3,6,0,96,47,16.0,0,0,1,WI,2018,2019,0.0,0.1667,0.0,0.0,1,3.0,0
KJ Abbott,11,14,0,95,17,6.78,0,0,4,SA,2013,2017,0.0,0.2857,0.0,0.0,4,2.75,0
Karim Janat,2,4,1,95,41,31.66,0,0,0,AFG,2023,2024,0.0,0.0,0.25,0.0,1,2.0,1
RP Snell,5,8,1,95,48,13.57,0,0,1,SA,1992,1994,0.0,0.125,0.125,0.0,2,2.5,0
HK Badani,4,7,1,94,38,15.66,0,0,0,IND,2001,2001,0.0,0.0,0.1429,0.0,1,4.0,0
T Kaitano,1,2,0,94,87,47.0,0,1,0,ZIM,2021,2021,0.0,0.0,0.0,0.5,1,1.0,0
KS Lokuarachchi,4,5,1,94,28,23.5,0,0,0,SL,2003,2004,0.0,0.0,0.2,0.0,1,4.0,0
T Thushara,10,14,3,94,15,8.54,0,0,3,SL,2003,2010,0.0,0.2143,0.2143,0.0,7,1.43,0
DJ Vilas,6,9,0,94,26,10.44,0,0,0,SA,2015,2016,0.0,0.0,0.0,0.0,1,6.0,0
AS Wassan,4,5,1,94,53,23.5,0,1,1,IND,1990,1990,0.0,0.2,0.2,0.2,1,4.0,0
Yasir Arafat,3,3,1,94,50,47.0,0,1,1,PAK,2007,2009,0.0,0.3333,0.3333,0.3333,2,1.5,0
Aamer Malik,4,7,0,93,65,13.28,0,1,2,PAK,1990,1994,0.0,0.2857,0.0,0.1429,4,1.0,0
MRCN Bandaratilleke,7,9,1,93,25,11.62,0,0,1,SL,1998,2001,0.0,0.1111,0.1111,0.0,3,2.33,0
OD Gibson,2,4,0,93,37,23.25,0,0,0,WI,1995,1999,0.0,0.0,0.0,0.0,4,0.5,0
SC Kuggeleijn,3,6,0,92,44,15.33,0,0,2,NZ,2023,2024,0.0,0.3333,0.0,0.0,1,3.0,1
CE Eksteen,7,11,2,91,22,10.11,0,0,1,SA,1993,2000,0.0,0.0909,0.1818,0.0,7,1.0,0
CBRLS Kumara,28,39,17,91,13,4.13,0,0,13,SL,2016,2024,0.0,0.3333,0.4359,0.0,8,3.5,1
Al-Amin Hossain,7,11,7,90,32,22.5,0,0,0,BAN,2013,2019,0.0,0.0,0.6364,0.0,6,1.17,0
TL Chatara,9,16,2,90,22,6.42,0,0,5,ZIM,2013,2018,0.0,0.3125,0.125,0.0,5,1.8,0
KM Dabengwa,3,6,0,90,35,15.0,0,0,1,ZIM,2005,2005,0.0,0.1667,0.0,0.0,1,3.0,0
TN Madondo,3,4,1,90,74,30.0,0,1,1,ZIM,1998,2000,0.0,0.25,0.25,0.25,2,1.5,0
BG Rogers,4,8,0,90,29,11.25,0,0,2,ZIM,2005,2005,0.0,0.25,0.0,0.0,1,4.0,0
WG Jacks,2,4,0,89,31,22.25,0,0,0,ENG,2022,2022,0.0,0.0,0.0,0.0,1,2.0,0
RN Lewis,5,10,0,89,40,8.9,0,0,4,WI,1997,2008,0.0,0.4,0.0,0.0,11,0.45,0
PP Ojha,24,27,17,89,18,8.9,0,0,4,IND,2009,2013,0.0,0.1481,0.6296,0.0,4,6.0,0
Tushar Imran,5,10,0,89,28,8.9,0,0,3,BAN,2002,2007,0.0,0.3,0.0,0.0,5,1.0,0
Ariful Haque,2,4,1,88,41,29.33,0,0,0,BAN,2018,2018,0.0,0.0,0.25,0.0,1,2.0,0
KIC Asalanka,3,6,0,88,29,14.66,0,0,0,SL,2021,2022,0.0,0.0,0.0,0.0,1,3.0,0
CK Coventry,2,4,0,88,37,22.0,0,0,0,ZIM,2005,2005,0.0,0.0,0.0,0.0,1,2.0,0
M Kartik,8,10,1,88,43,9.77,0,0,2,IND,2000,2004,0.0,0.2,0.1,0.0,4,2.0,0
SW Masakadza,5,9,1,88,24,11.0,0,0,3,ZIM,2012,2014,0.0,0.3333,0.1111,0.0,2,2.5,0
Sajid Khan,8,9,0,88,21,9.77,0,0,1,PAK,2021,2024,0.0,0.1111,0.0,0.0,3,2.67,1
Shabbir Ahmed,10,15,5,88,24,8.8,0,0,4,PAK,2003,2005,0.0,0.2667,0.3333,0.0,2,5.0,0
Zulqarnain Haider,1,2,0,88,88,44.0,0,1,1,PAK,2010,2010,0.0,0.5,0.0,0.5,1,1.0,0
Rehan Ahmed,4,8,0,87,28,10.87,0,0,1,ENG,2022,2024,0.0,0.125,0.0,0.0,2,2.0,1
ET Smith,3,5,0,87,64,17.4,0,1,2,ENG,2003,2003,0.0,0.4,0.0,0.2,1,3.0,0
GD Elliott,5,9,1,86,25,10.75,0,0,1,NZ,2008,2009,0.0,0.1111,0.1111,0.0,1,5.0,0
RC Irani,3,5,0,86,41,17.2,0,0,0,ENG,1996,1999,0.0,0.0,0.0,0.0,3,1.0,0
SNJ O'Keefe,9,13,4,86,25,9.55,0,0,2,AUS,2014,2017,0.0,0.1538,0.3077,0.0,3,3.0,0
MC Snedden,7,8,3,85,23,17.0,0,0,1,NZ,1990,1990,0.0,0.125,0.375,0.0,1,7.0,0
LA Dawson,3,6,2,84,66,21.0,0,1,3,ENG,2016,2017,0.0,0.5,0.3333,0.1667,1,3.0,0
U Afzaal,3,6,1,83,54,16.6,0,1,0,ENG,2001,2001,0.0,0.0,0.1667,0.1667,1,3.0,0
Amir Hamza,4,6,2,83,34,20.75,0,0,0,AFG,2019,2023,0.0,0.0,0.3333,0.0,4,1.0,0
J Botha,5,6,2,83,25,20.75,0,0,0,SA,2006,2010,0.0,0.0,0.3333,0.0,4,1.25,0
DT Hondo,9,15,6,83,19,9.22,0,0,1,ZIM,2001,2005,0.0,0.0667,0.4,0.0,4,2.25,0
D Pretorius,3,6,0,83,37,13.83,0,0,1,SA,2019,2020,0.0,0.1667,0.0,0.0,1,3.0,0
B Mavuta,4,7,0,82,56,11.71,0,1,2,ZIM,2018,2023,0.0,0.2857,0.0,0.1429,5,0.8,0
TS Roland-Jones,4,6,2,82,25,20.5,0,0,0,ENG,2017,2017,0.0,0.0,0.3333,0.0,1,4.0,0
M Zondeki,6,5,0,82,59,16.4,0,1,1,SA,2003,2008,0.0,0.2,0.0,0.2,5,1.2,0
IT Botham,5,7,1,81,31,13.5,0,0,0,ENG,1991,1992,0.0,0.0,0.1429,0.0,1,5.0,0
DJ Capel,4,7,1,81,40,13.5,0,0,0,ENG,1990,1990,0.0,0.0,0.1429,0.0,1,4.0,0
SI Mahmood,8,11,1,81,34,8.1,0,0,3,ENG,2006,2007,0.0,0.2727,0.0909,0.0,1,8.0,0
Manjural Islam,17,33,11,81,21,3.68,0,0,10,BAN,2001,2004,0.0,0.303,0.3333,0.0,3,5.67,0
T Duffin,2,4,0,80,56,20.0,0,1,0,ZIM,2005,2005,0.0,0.0,0.0,0.25,1,2.0,0
JM Kemp,4,6,0,80,55,13.33,0,1,2,SA,2001,2005,0.0,0.3333,0.0,0.1667,4,1.0,0
SD Anurasiri,14,17,3,78,24,5.57,0,0,3,SL,1991,1998,0.0,0.1765,0.1765,0.0,7,2.0,0
Ishan Kishan,2,3,2,78,52,78.0,0,1,0,IND,2023,2023,0.0,0.0,0.6667,0.3333,1,2.0,0
MN Lathwell,2,4,0,78,33,19.5,0,0,1,ENG,1993,1993,0.0,0.25,0.0,0.0,1,2.0,0
SF Mire,2,4,0,78,47,19.5,0,0,1,ZIM,2017,2017,0.0,0.25,0.0,0.0,1,2.0,0
GF Labrooy,4,6,1,77,70,15.4,0,1,3,SL,1990,1991,0.0,0.5,0.1667,0.1667,1,4.0,0
A Nehra,17,25,11,77,19,5.5,0,0,10,IND,1999,2004,0.0,0.4,0.44,0.0,5,3.4,0
ASA Perera,3,4,1,77,43,25.66,0,0,0,SL,1998,2001,0.0,0.0,0.25,0.0,3,1.0,0
Ata-ur-Rehman,13,15,6,76,19,8.44,0,0,3,PAK,1992,1996,0.0,0.2,0.4,0.0,4,3.25,0
JG Bracewell,6,6,1,76,28,15.2,0,0,2,NZ,1990,1990,0.0,0.3333,0.1667,0.0,1,6.0,0
IG Butler,8,10,2,76,26,9.5,0,0,2,NZ,2002,2004,0.0,0.2,0.2,0.0,2,4.0,0
MR Gillespie,5,8,1,76,27,10.85,0,0,3,NZ,2007,2012,0.0,0.375,0.125,0.0,5,1.0,0
Tauseef Ahmed,6,8,4,75,21,18.75,0,0,2,PAK,1990,1993,0.0,0.25,0.5,0.0,3,2.0,0
JER Gallian,3,6,0,74,28,12.33,0,0,2,ENG,1995,1995,0.0,0.3333,0.0,0.0,1,3.0,0
AG Huckle,8,14,3,74,28,6.72,0,0,7,ZIM,1997,1998,0.0,0.5,0.2143,0.0,1,8.0,0
HH Kanitkar,2,4,0,74,45,18.5,0,0,0,IND,1999,2000,0.0,0.0,0.0,0.0,1,2.0,0
A Maregwede,2,4,0,74,28,18.5,0,0,1,ZIM,2004,2004,0.0,0.25,0.0,0.0,1,2.0,0
BP Martin,5,6,1,74,41,14.8,0,0,1,NZ,2013,2013,0.0,0.1667,0.1667,0.0,1,5.0,0
MP Maynard,3,6,0,74,35,12.33,0,0,2,ENG,1993,1994,0.0,0.3333,0.0,0.0,1,3.0,0
NO Perry,4,7,1,74,26,12.33,0,0,2,WI,1999,1999,0.0,0.2857,0.1429,0.0,1,4.0,0
Shakeel Ahmed jnr,3,5,0,74,33,14.8,0,0,1,PAK,1993,1995,0.0,0.2,0.0,0.0,2,1.5,0
RJ Bailey,3,6,0,73,42,12.16,0,0,2,ENG,1990,1990,0.0,0.3333,0.0,0.0,1,3.0,0
Bilal Asif,5,8,0,73,15,9.12,0,0,2,PAK,2018,2018,0.0,0.25,0.0,0.0,1,5.0,0
S Elworthy,4,5,1,72,48,18.0,0,0,0,SA,1998,2002,0.0,0.0,0.2,0.0,4,1.0,0
KO Meth,2,4,1,72,31,24.0,0,0,0,ZIM,2013,2013,0.0,0.0,0.25,0.0,1,2.0,0
WJ Pucovski,1,2,0,72,62,36.0,0,1,0,AUS,2021,2021,0.0,0.0,0.0,0.5,1,1.0,0
A Sanford,11,17,2,72,18,4.8,0,0,2,WI,2002,2004,0.0,0.1176,0.1176,0.0,2,5.5,0
GJ Hopkins,4,7,1,71,15,11.83,0,0,0,NZ,2008,2010,0.0,0.0,0.1429,0.0,2,2.0,0
SP James,2,4,0,71,36,17.75,0,0,1,ENG,1998,1998,0.0,0.25,0.0,0.0,1,2.0,0
JJ Krejza,2,4,1,71,32,23.66,0,0,0,AUS,2008,2008,0.0,0.0,0.25,0.0,1,2.0,0
JE Morris,3,5,2,71,32,23.66,0,0,0,ENG,1990,1990,0.0,0.0,0.4,0.0,1,3.0,0
Zafar Gohar,1,2,0,71,37,35.5,0,0,0,PAK,2021,2021,0.0,0.0,0.0,0.0,1,1.0,0
Bilawal Bhatti,2,3,1,70,32,35.0,0,0,0,PAK,2013,2014,0.0,0.0,0.3333,0.0,1,2.0,0
NW Bracken,5,6,2,70,37,17.5,0,0,0,AUS,2003,2005,0.0,0.0,0.3333,0.0,2,2.5,0
